𤭢	〔亠瓦ww〕
䐃	〔⺼禾oh〕
卡	〔上卜ub〕
喀	〔口口kk〕
咔	〔口卜kb〕
胩	〔⺼卜ob〕
开	〔一廾ac〕
凯	〔山几uj〕
慨	〔忄旡xw〕
铠	〔钅己jj〕
恺	〔忄己xj〕
揩	〔扌白fb〕
锴	〔钅白jb〕
忾	〔忄气xq〕
闿	〔门己mj〕
剀	〔山刂ud〕
垲	〔土己tj〕
锎	〔钅开jk〕
炌	〔火介hj〕
蒈	〔艹白cb〕
看	〔龵目uo〕
堪	〔土八tb〕
砍	〔石欠uq〕
刊	〔干刂gd〕
侃	〔亻𫶧ri〕
坎	〔土欠tq〕
勘	〔卄力cl〕
阚	〔门攵mw〕
瞰	〔目攵ow〕
龛	〔𠆢龙rl〕
戡	〔卄戈cg〕
崁	〔山欠uq〕
莰	〔艹欠cq〕
衎	〔彳干rg〕
磡	〔石力ul〕
嵁	〔山八ub〕
墈	〔土力tl〕
抗	〔扌几fj〕
康	〔广隶gl〕
亢	〔亠几wj〕
炕	〔火几hj〕
慷	〔忄隶xl〕
糠	〔米隶ml〕
伉	〔亻几rj〕
钪	〔钅几jj〕
闶	〔门几mj〕
𡐓	〔土隶tl〕
𩾌	〔鱼隶yl〕
靠	〔⺧非nf〕
考	〔耂丂lk〕
烤	〔火丂hk〕
铐	〔钅丂jk〕
拷	〔扌丂fk〕
犒	〔牜口nk〕
尻	〔尸九uj〕
栲	〔木丂mk〕
㸆	〔火非hf〕
洘	〔氵丂dk〕
可	〔丁口dk〕
刻	〔亠刂wd〕
克	〔十兄ux〕
客	〔宀口bk〕
科	〔禾斗hd〕
课	〔讠果yg〕
颗	〔果页gy〕
渴	〔氵人dr〕
柯	〔木可mk〕
棵	〔木果mg〕
壳	〔士几tj〕
氪	〔气兄qx〕
磕	〔石皿um〕
嗑	〔口皿km〕
珂	〔𤣩可wk〕
苛	〔艹可ck〕
轲	〔车可ik〕
瞌	〔目皿om〕
坷	〔土可tk〕
恪	〔忄口xk〕
蝌	〔虫斗id〕
颏	〔亠页wy〕
窠	〔宀果bg〕
稞	〔禾果hg〕
溘	〔氵皿dm〕
疴	〔疒可bk〕
岢	〔山可uk〕
锞	〔钅果jg〕
髁	〔冎果gg〕
骒	〔马果mg〕
缂	〔纟革sg〕
牁	〔爿可pk〕
匼	〔匚口kk〕
炣	〔火可hk〕
剋	〔十刂ud〕
肯	〔止⺝vo〕
恳	〔艮心gx〕
啃	〔口⺝ko〕
垦	〔艮土gt〕
裉	〔衤艮pg〕
坑	〔土几tj〕
铿	〔钅土jt〕
硁	〔石𢀖uj〕
空	〔宀工bg〕
恐	〔工心gx〕
控	〔扌工fg〕
孔	〔子乚zv〕
崆	〔山工ug〕
箜	〔竹工vg〕
倥	〔亻工rg〕
硿	〔石工ug〕
埪	〔土工tg〕
口	〔丨一la〕
扣	〔扌口fk〕
寇	〔宀又by〕
叩	〔口卩ke〕
抠	〔扌区fq〕
蔻	〔艹又cy〕
芤	〔艹乚cv〕
筘	〔竹口vk〕
眍	〔目区oq〕
𫸩	〔弓区gq〕
苦	〔艹古cg〕
哭	〔口犬kq〕
酷	〔酉口yk〕
库	〔广车gi〕
裤	〔衤车pi〕
枯	〔木古mg〕
骷	〔冎古gg〕
窟	〔宀出bi〕
绔	〔纟丂sk〕
喾	〔𰃮口xk〕
刳	〔大刂dd〕
矻	〔石乙uv〕
圐	〔囗方kf〕
夸	〔大丂dk〕
跨	〔𧾷丂zk〕
垮	〔土丂tk〕
胯	〔⺼丂ok〕
挎	〔扌丂fk〕
侉	〔亻丂rk〕
姱	〔女丂nk〕
快	〔忄夬xg〕
块	〔土夬tg〕
筷	〔竹夬vg〕
蒯	〔艹刂cd〕
哙	〔口云ky〕
侩	〔亻云ry〕
脍	〔⺼云oy〕
狯	〔犭云qy〕
郐	〔𠆢⻏re〕
鲙	〔鱼云yy〕
㧟	〔扌匚fk〕
宽	〔宀见bj〕
款	〔士欠tq〕
髋	〔冎见gj〕
况	〔冫兄dx〕
狂	〔犭王qw〕
矿	〔石广ug〕
旷	〔日广og〕
眶	〔目王ow〕
框	〔木王mw〕
匡	〔匚王kw〕
筐	〔竹王vw〕
哐	〔口王kw〕
邝	〔广⻏ge〕
诳	〔讠王yw〕
诓	〔讠王yw〕
圹	〔土广tg〕
纩	〔纟广sg〕
贶	〔贝兄bx〕
夼	〔大川di〕
洭	〔氵王dw〕
𫛭	〔犭鸟qn〕
亏	〔一丂ak〕
愧	〔忄鬼xg〕
盔	〔𠂇皿um〕
魁	〔鬼斗gd〕
窥	〔宀见bj〕
奎	〔大土dt〕
葵	〔艹天ct〕
傀	〔亻鬼rg〕
睽	〔目天ot〕
馈	〔饣贝ub〕
逵	〔辶土zt〕
馗	〔九自jz〕
匮	〔匚贝kb〕
喟	〔口⺝ko〕
夔	〔丷夂bw〕
篑	〔竹贝vb〕
岿	〔山彐ue〕
揆	〔扌天ft〕
聩	〔耳贝eb〕
跬	〔𧾷土zt〕
愦	〔忄贝xb〕
悝	〔忄里xl〕
蝰	〔虫土it〕
暌	〔日天ot〕
蒉	〔艹贝cb〕
櫆	〔木斗md〕
骙	〔马天mt〕
喹	〔口土kt〕
煃	〔火土ht〕
戣	〔癶戈bg〕
𫠆	〔支页vy〕
困	〔囗木km〕
昆	〔日匕ob〕
坤	〔土申tu〕
捆	〔扌木fm〕
鲲	〔鱼匕yb〕
琨	〔𤣩匕wb〕
锟	〔钅匕jb〕
髡	〔E兀ew〕
阃	〔门木mm〕
悃	〔忄木xm〕
堃	〔方土ft〕
焜	〔火匕hb〕
壸	〔士业ty〕
鹍	〔日鸟on〕
裈	〔衤车pi〕
醌	〔酉匕yb〕
婫	〔女匕nb〕
括	〔扌舌fu〕
扩	〔扌广fg〕
阔	〔门舌mu〕
廓	〔广⻏ge〕
蛞	〔虫舌iu〕
啦	〔口立kl〕
拉	〔扌立fl〕
辣	〔辛束xu〕
垃	〔土立tl〕
腊	〔⺼日oo〕
喇	〔口刂kd〕
蜡	〔虫日io〕
落	〔艹口ck〕
剌	〔束刂ud〕
邋	〔辶{鼠下}zv〕
旯	〔日九oj〕
瘌	〔疒刂bd〕
砬	〔石立ul〕
镴	〔钅{鼠下}jv〕
蝲	〔虫刂id〕
鞡	〔革立gl〕
𬶟	〔鱼刂yd〕
来	〔一木am〕
莱	〔艹来cl〕
赖	〔束贝ub〕
籁	〔竹贝vb〕
睐	〔目来ol〕
癞	〔疒贝bb〕
濑	〔氵贝db〕
徕	〔彳来rl〕
崃	〔山来ul〕
涞	〔氵来dl〕
赉	〔来贝lb〕
俫	〔亻来rl〕
铼	〔钅来jl〕
梾	〔木来ml〕
蓝	〔艹皿cm〕
烂	〔火兰hl〕
懒	〔忄贝xb〕
拦	〔扌兰fl〕
篮	〔竹皿vm〕
岚	〔山风uf〕
兰	〔丷三bs〕
栏	〔木兰ml〕
览	〔丨见lj〕
澜	〔氵柬dj〕
揽	〔扌见fj〕
滥	〔氵皿dm〕
婪	〔木女mn〕
阑	〔门柬mj〕
榄	〔木见mj〕
斓	〔文柬wj〕
缆	〔纟见sj〕
褴	〔衤皿pm〕
谰	〔讠柬yj〕
罱	〔罒干sg〕
襕	〔衤柬pj〕
镧	〔钅柬jj〕
漤	〔氵女dn〕
𬒗	〔石见uj〕
狼	〔犭良ql〕
浪	〔氵良dl〕
郎	〔良⻏le〕
朗	〔良月lo〕
廊	〔广⻏ge〕
螂	〔虫⻏ie〕
琅	〔𤣩良wl〕
啷	〔口⻏ke〕
榔	〔木⻏me〕
锒	〔钅良jl〕
阆	〔门良ml〕
烺	〔火良hl〕
蒗	〔艹良cl〕
莨	〔艹良cl〕
稂	〔禾良hl〕
崀	〔山良ul〕
㫰	〔日良ol〕
㮾	〔良木lm〕
埌	〔土良tl〕
塱	〔良土lt〕
桹	〔木良ml〕
筤	〔竹良vl〕
蓢	〔艹月co〕
老	〔耂匕lb〕
劳	〔艹力cl〕
牢	〔宀牛bn〕
姥	〔女老nl〕
捞	〔扌力fl〕
唠	〔口力kl〕
佬	〔亻老rl〕
烙	〔火口hk〕
酪	〔酉口yk〕
涝	〔氵力dl〕
崂	〔山力ul〕
嫪	〔女彡np〕
痨	〔疒力bl〕
醪	〔酉彡yp〕
栳	〔木老ml〕
铑	〔钅老jl〕
耢	〔耒力ll〕
荖	〔艹老cl〕
铹	〔钅力jl〕
络	〔纟口sk〕
𫭼	〔土力tl〕
了	〔乛亅al〕
乐	〔丿小px〕
勒	〔革力gl〕
叻	〔口力kl〕
泐	〔氵力dl〕
鳓	〔鱼力yl〕
仂	〔亻力rl〕
簕	〔竹力vl〕
嘞	〔口力kl〕
雷	〔雨田yt〕
类	〔米大md〕
泪	〔氵目do〕
累	〔田糸tx〕
蕾	〔艹田ct〕
磊	〔石石uu〕
垒	〔厶土st〕
擂	〔扌田ft〕
肋	〔⺼力ol〕
儡	〔亻田rt〕
镭	〔钅田jt〕
羸	〔亡羊wy〕
檑	〔木田mt〕
耒	〔丰人fr〕
诔	〔讠耒yl〕
嫘	〔女糸nx〕
酹	〔酉寸yc〕
缧	〔纟糸sx〕
礌	〔石田ut〕
罍	〔田缶tf〕
藟	〔艹田ct〕
癗	〔疒田bt〕
冷	〔冫龴ds〕
愣	〔忄方xf〕
楞	〔木方mf〕
棱	〔木夂mw〕
塄	〔土方tf〕
崚	〔山夂uw〕
堎	〔土夂tw〕
里	〔田土tt〕
力	〔𠃌丿vp〕
理	〔𤣩里wl〕
李	〔木子mz〕
立	〔亠䒑wb〕
离	〔亠禸wn〕
利	〔禾刂hd〕
梨	〔禾木hm〕
丽	〔一丶ad〕
历	〔厂力il〕
礼	〔礻乚pv〕
厉	〔厂万iw〕
例	〔亻刂rd〕
莉	〔艹刂cd〕
黎	〔禾氺hu〕
璃	〔𤣩禸wn〕
励	〔厂力il〕
哩	〔口里kl〕
狸	〔犭里ql〕
粒	〔米立ml〕
隶	〔肀水yu〕
吏	〔古乀gn〕
栗	〔覀木xm〕
漓	〔氵禸dn〕
雳	〔雨力yl〕
厘	〔厂里il〕
俐	〔亻刂rd〕
笠	〔竹立vl〕
沥	〔氵力dl〕
篱	〔竹禸vn〕
戾	〔户犬hq〕
鲤	〔鱼里yl〕
犁	〔禾牛hn〕
砾	〔石乐ul〕
荔	〔艹力cl〕
砺	〔石万uw〕
郦	〔丽⻏le〕
藜	〔艹氺cu〕
骊	〔马丶md〕
俪	〔亻丶rd〕
鹂	〔丽鸟ln〕
蠡	〔彑虫hi〕
栎	〔木乐ml〕
唳	〔口犬kq〕
喱	〔口里kl〕
罹	〔罒{隹右}sv〕
痢	〔疒刂bd〕
莅	〔艹立cl〕
俚	〔亻里rl〕
逦	〔⻌丶zd〕
呖	〔口力kl〕
蛎	〔虫万iw〕
猁	〔犭刂qd〕
澧	〔氵䒑db〕
醴	〔酉䒑yb〕
娌	〔女里nl〕
蓠	〔艹禸cn〕
詈	〔⺫口sk〕
黧	〔禾灬hh〕
蜊	〔虫刂id〕
缡	〔纟禸sn〕
傈	〔亻木rm〕
枥	〔木力ml〕
溧	〔氵木dm〕
坜	〔土力tl〕
疠	〔疒万bw〕
粝	〔米万mw〕
嫠	〔未女wn〕
锂	〔钅里jl〕
篥	〔竹木vm〕
轹	〔车乐il〕
鲡	〔鱼丶yd〕
疬	〔疒力bl〕
苈	〔艹力cl〕
浬	〔氵里dl〕
跞	〔𧾷乐zl〕
浰	〔氵刂dd〕
鳢	〔鱼䒑yb〕
醨	〔酉禸yn〕
凓	〔冫木dm〕
朸	〔木力ml〕
㰀	〔木氺mu〕
珕	〔𤣩力wl〕
𫵷	〔山力ul〕
𬍛	〔𤣩乐wl〕
俩	〔亻两rl〕
连	〔⻌车zi〕
脸	〔⺼佥oq〕
联	〔耳天et〕
练	〔纟𫠣sd〕
恋	〔亠心wx〕
怜	〔忄龴xs〕
炼	〔火𫠣hd〕
莲	〔艹车ci〕
链	〔钅车ji〕
帘	〔宀巾bj〕
廉	〔广兼gj〕
敛	〔佥攵qw〕
涟	〔氵车di〕
镰	〔钅兼jj〕
琏	〔𤣩车wi〕
濂	〔氵兼dj〕
潋	〔氵攵dw〕
殓	〔歹佥dq〕
奁	〔大区dq〕
裢	〔衤车pi〕
楝	〔木柬mj〕
裣	〔衤佥pq〕
鲢	〔鱼车yi〕
梿	〔木车mi〕
蠊	〔虫兼ij〕
蔹	〔艹攵cw〕
瑓	〔𤣩柬wj〕
𬶠	〔鱼柬yj〕
两	〔一人ar〕
量	〔日里ol〕
亮	〔亠几wj〕
良	〔丶艮dg〕
凉	〔冫小dx〕
梁	〔氵木dm〕
辆	〔车两il〕
粮	〔米良ml〕
谅	〔讠小yx〕
踉	〔𧾷良zl〕
晾	〔日小ox〕
粱	〔氵米dm〕
魉	〔鬼两gl〕
椋	〔木小mx〕
辌	〔车小ix〕
墚	〔土木tm〕
悢	〔忄良xl〕
俍	〔亻良rl〕
𫟅	〔纟小sx〕
𬜯	〔艹两cl〕
聊	〔耳卩ee〕
料	〔米斗md〕
疗	〔疒了bl〕
辽	〔辶了zl〕
廖	〔广彡gp〕
撩	〔扌小fx〕
寥	〔宀彡bp〕
僚	〔亻小rx〕
缭	〔纟小sx〕
燎	〔火小hx〕
撂	〔扌口fk〕
獠	〔犭小qx〕
潦	〔氵小dx〕
镣	〔钅小jx〕
嘹	〔口小kx〕
瞭	〔目小ox〕
寮	〔宀小bx〕
蓼	〔艹彡cp〕
尥	〔尢勺yu〕
鹩	〔大鸟dn〕
嫽	〔女小nx〕
髎	〔冎彡gp〕
钌	〔钅了jl〕
蹽	〔𧾷小zx〕
漻	〔氵彡dp〕
憭	〔忄小xx〕
簝	〔竹小vx〕
橑	〔木小mx〕
𪤗	〔土彡tp〕
列	〔歹刂dd〕
裂	〔歹衣dy〕
猎	〔犭日qo〕
咧	〔口刂kd〕
烈	〔歹灬dh〕
劣	〔少力ul〕
冽	〔冫刂dd〕
趔	〔土刂td〕
洌	〔氵刂dd〕
鬣	〔E{鼠下}ev〕
捩	〔扌犬fq〕
埒	〔土寸tc〕
躐	〔𧾷{鼠下}zv〕
峛	〔山刂ud〕
脟	〔⺼寸oc〕
䴕	〔歹鸟dn〕
𫚭	〔鱼{鼠下}yv〕
林	〔木木mm〕
临	〔〢𫩏lk〕
琳	〔𤣩木wm〕
淋	〔氵木dm〕
邻	〔𠆢⻏re〕
麟	〔鹿㐄lf〕
凛	〔冫示du〕
拎	〔扌龴fs〕
霖	〔雨木ym〕
鳞	〔鱼㐄yf〕
吝	〔文口wk〕
躏	〔𧾷{隹右}zv〕
粼	〔米巜mv〕
磷	〔石㐄uf〕
嶙	〔山㐄uf〕
蔺	〔艹{隹右}cv〕
赁	〔亻贝rb〕
懔	〔忄示xu〕
辚	〔车㐄if〕
遴	〔辶㐄zf〕
廪	〔广示gu〕
潾	〔氵㐄df〕
檩	〔木示mu〕
璘	〔𤣩㐄wf〕
啉	〔口木km〕
瞵	〔目㐄of〕
膦	〔⺼㐄of〕
翷	〔米习mx〕
箖	〔竹木vm〕
𬭸	〔钅㐄jf〕
𬴊	〔马㐄mf〕
令	〔𠆢龴rs〕
灵	〔彐火eh〕
领	〔𠆢页ry〕
另	〔口力kl〕
凌	〔冫夂dw〕
玲	〔𤣩龴ws〕
零	〔雨龴ys〕
龄	〔止龴vs〕
铃	〔钅龴js〕
陵	〔⻖夂ew〕
岭	〔山龴us〕
菱	〔艹夂cw〕
伶	〔亻龴rs〕
聆	〔耳龴es〕
翎	〔𠆢习rx〕
绫	〔纟夂sw〕
〇	〔〇〇vv〕
羚	〔羊龴ys〕
呤	〔口龴ks〕
苓	〔艹龴cs〕
泠	〔氵龴ds〕
棂	〔木火mh〕
瓴	〔𠆢瓦rw〕
酃	〔雨⻏ye〕
囹	〔囗龴ks〕
鲮	〔鱼夂yw〕
蛉	〔虫龴is〕
鸰	〔𠆢鸟rn〕
柃	〔木龴ms〕
舲	〔舟龴vs〕
澪	〔氵龴ds〕
昤	〔日龴os〕
祾	〔礻夂pw〕
姈	〔女龴ns〕
㥄	〔忄夂xw〕
坽	〔土龴ts〕
流	〔氵𫶧di〕
刘	〔文刂wd〕
留	〔{丿𠄌丶}田pt〕
六	〔亠八wb〕
柳	〔木卩me〕
溜	〔氵田dt〕
琉	〔𤣩𫶧wi〕
榴	〔木田mt〕
浏	〔氵刂dd〕
瘤	〔疒田bt〕
硫	〔石𫶧ui〕
遛	〔辶田zt〕
陆	〔⻖击ej〕
绺	〔纟口sk〕
鎏	〔氵金dj〕
馏	〔饣田ut〕
骝	〔马田mt〕
镏	〔钅田jt〕
旒	〔方𫶧fi〕
镠	〔钅彡jp〕
锍	〔钅𫶧ji〕
熘	〔火田ht〕
鹨	〔习鸟xn〕
飗	〔风田ft〕
瑬	〔氵玉dy〕
珋	〔𤣩卩we〕
罶	〔罒田st〕
鹠	〔{丿𠄌丶}鸟pn〕
疁	〔田彡tp〕
碌	〔石⺢uu〕
龙	〔尤丿yp〕
隆	〔⻖生eu〕
笼	〔竹龙vl〕
拢	〔扌龙fl〕
胧	〔⺼龙ol〕
珑	〔𤣩龙wl〕
咙	〔口龙kl〕
聋	〔龙耳le〕
垄	〔龙土lt〕
窿	〔宀生bu〕
陇	〔⻖龙el〕
泷	〔氵龙dl〕
茏	〔艹龙cl〕
眬	〔目龙ol〕
栊	〔木龙ml〕
砻	〔龙石lu〕
哢	〔口廾kc〕
昽	〔日龙ol〕
癃	〔疒生bu〕
漋	〔氵生du〕
弄	〔王廾wc〕
𬕂	〔竹贝vb〕
楼	〔木女mn〕
搂	〔扌女fn〕
漏	〔氵雨dy〕
髅	〔冎女gn〕
露	〔雨口yk〕
陋	〔⻖内en〕
喽	〔口女kn〕
娄	〔米女mn〕
篓	〔竹女vn〕
镂	〔钅女jn〕
偻	〔亻女rn〕
蝼	〔虫女in〕
耧	〔耒女ln〕
蒌	〔艹女cn〕
瘘	〔疒女bn〕
嵝	〔山女un〕
溇	〔氵女dn〕
䁖	〔目女on〕
剅	〔豆刂dd〕
𦝼	〔⺼女on〕
𪣻	〔土女tn〕
路	〔𧾷口zk〕
鲁	〔鱼日yo〕
录	〔彐⺢eu〕
撸	〔扌日fo〕
卢	〔⺊尸bu〕
鹿	〔广匕gb〕
炉	〔火户hh〕
芦	〔艹户ch〕
禄	〔礻⺢pu〕
虏	〔虍力hl〕
璐	〔𤣩口wk〕
噜	〔口日ko〕
戮	〔习戈xg〕
颅	〔⺊页by〕
庐	〔广户gh〕
漉	〔氵鹿dl〕
掳	〔扌力fl〕
辘	〔车鹿il〕
赂	〔贝口bk〕
麓	〔木鹿ml〕
卤	〔⺊㐅bx〕
鹭	〔𧾷鸟zn〕
泸	〔氵尸du〕
潞	〔氵口dk〕
橹	〔木日mo〕
辂	〔车口ik〕
箓	〔竹⺢vu〕
胪	〔⺼尸ou〕
鲈	〔鱼尸yu〕
轳	〔车尸iu〕
垆	〔土尸tu〕
渌	〔氵⺢du〕
逯	〔辶⺢zu〕
鸬	〔⺊鸟bn〕
甪	〔丿用py〕
蕗	〔艹口ck〕
舻	〔舟尸vu〕
栌	〔木尸mu〕
簏	〔竹鹿vl〕
菉	〔艹⺢cu〕
氇	〔毛日mo〕
僇	〔亻彡rp〕
琭	〔𤣩⺢wu〕
镥	〔钅日jo〕
勠	〔习力xl〕
稑	〔禾土ht〕
绿	〔纟⺢su〕
澛	〔氵日do〕
𫘧	〔马⺢mu〕
𬬻	〔钅尸ju〕
乱	〔舌乚uv〕
卵	〔𠂎丶pd〕
鸾	〔亠鸟wn〕
峦	〔亠山wu〕
挛	〔亠手wu〕
銮	〔亠金wj〕
孪	〔亠子wz〕
栾	〔亠木wm〕
滦	〔氵木dm〕
脔	〔亠肉wr〕
娈	〔亠女wn〕
论	〔讠仑yl〕
伦	〔亻仑rl〕
轮	〔车仑il〕
仑	〔𠆢匕rb〕
沦	〔氵仑dl〕
抡	〔扌仑fl〕
囵	〔囗仑kl〕
𫭢	〔土仑tl〕
𬬭	〔钅仑jl〕
罗	〔罒夕sx〕
洛	〔氵口dk〕
裸	〔衤果pg〕
逻	〔⻌夕zx〕
骆	〔马口mk〕
萝	〔艹夕cx〕
螺	〔虫糸ix〕
锣	〔钅夕jx〕
啰	〔口夕kx〕
珞	〔𤣩口wk〕
骡	〔马糸mx〕
摞	〔扌糸fx〕
雒	〔夂{隹右}wv〕
荦	〔艹牛cn〕
箩	〔竹夕vx〕
椤	〔木夕mx〕
猡	〔犭夕qx〕
蠃	〔亡虫wi〕
脶	〔⺼内on〕
漯	〔氵糸dx〕
倮	〔亻果rg〕
捋	〔扌寸fc〕
瘰	〔疒糸bx〕
泺	〔氵乐dl〕
蓏	〔艹瓜cg〕
律	〔彳聿ry〕
率	〔亠十wu〕
旅	〔方{𧘇}fy〕
吕	〔口口kk〕
缕	〔纟女sn〕
侣	〔亻口rk〕
驴	〔马户mh〕
屡	〔尸女un〕
履	〔尸夂uw〕
滤	〔氵心dx〕
虑	〔虍心hx〕
褛	〔衤女pn〕
铝	〔钅口jk〕
闾	〔门口mk〕
榈	〔木口mk〕
氯	〔气⺢qu〕
膂	〔方⺝fo〕
稆	〔禾口hk〕
葎	〔艹聿cy〕
垏	〔土聿ty〕
梠	〔木口mk〕
略	〔田口tk〕
掠	〔扌小fx〕
锊	〔钅寸jc〕
䂮	〔丰石fu〕
圙	〔囗面km〕
吗	〔口马km〕
马	〔𠃌一va〕
妈	〔女马nm〕
麻	〔广木gm〕
嘛	〔口木km〕
骂	〔口马km〕
码	〔石马um〕
玛	〔𤣩马wm〕
抹	〔扌末fw〕
蚂	〔虫马im〕
蟆	〔虫大id〕
犸	〔犭马qm〕
杩	〔木马mm〕
祃	〔礻马pm〕
摩	〔广手gu〕
买	〔乛⺀ad〕
卖	〔十⺀ud〕
埋	〔土里tl〕
脉	〔⺼永oy〕
麦	〔龶夂fw〕
迈	〔⻌万zw〕
霾	〔雨里yl〕
劢	〔万力wl〕
唛	〔口夂kw〕
荬	〔艹⺀cd〕
鿏	〔钅夂jw〕
满	〔氵两dl〕
慢	〔忄又xy〕
漫	〔氵又dy〕
曼	〔⺜又oy〕
蛮	〔亠虫wi〕
瞒	〔目两ol〕
蔓	〔艹又cy〕
馒	〔饣又uy〕
幔	〔巾又jy〕
谩	〔讠又yy〕
鳗	〔鱼又yy〕
缦	〔纟又sy〕
嫚	〔女又ny〕
墁	〔土又ty〕
颟	〔艹页cy〕
螨	〔虫两il〕
鞔	〔革儿ge〕
镘	〔钅又jy〕
鬘	〔E又ey〕
𬜬	〔艹口ck〕
忙	〔忄亡xw〕
芒	〔艹亡cw〕
茫	〔艹亡cw〕
氓	〔亡民wm〕
莽	〔艹廾cc〕
盲	〔亡目wo〕
蟒	〔虫廾ic〕
邙	〔亡⻏we〕
漭	〔氵廾dc〕
牤	〔牜亡nw〕
硭	〔石亡uw〕
尨	〔龙丿lp〕
牻	〔牜丿np〕
厖	〔厂丿ip〕
杧	〔木亡mw〕
毛	〔丿乚pv〕
冒	〔⺜目oo〕
貌	〔豸儿ve〕
猫	〔犭田qt〕
矛	〔予丿yp〕
帽	〔巾目jo〕
贸	〔{丿𠄌丶}贝pb〕
茂	〔艹戊cw〕
茅	〔艹矛cm〕
冇	〔𠂇冂uk〕
髦	〔E毛em〕
卯	〔𠂎卩pe〕
锚	〔钅田jt〕
袤	〔衣矛ym〕
瑁	〔𤣩目wo〕
懋	〔木心mx〕
牦	〔牜毛nm〕
铆	〔钅卩je〕
昴	〔日卩oe〕
耄	〔老毛lm〕
蟊	〔矛虫mi〕
峁	〔山卩ue〕
旄	〔方毛fm〕
楙	〔木木mm〕
泖	〔氵卩de〕
瞀	〔矛目mo〕
茆	〔艹卩ce〕
蝥	〔矛虫mi〕
芼	〔艹毛cm〕
眊	〔目毛om〕
鄚	〔艹⻏ce〕
么	〔丿厶ps〕
没	〔氵殳du〕
美	〔𦍌大yd〕
每	〔𠂉母pm〕
妹	〔女未nw〕
眉	〔𠃜目uo〕
梅	〔木母mm〕
媚	〔女目no〕
魅	〔鬼未gw〕
玫	〔𤣩攵ww〕
枚	〔木攵mw〕
媒	〔女木nm〕
霉	〔雨母ym〕
昧	〔日未ow〕
煤	〔火木hm〕
寐	〔宀未bw〕
嵋	〔山目uo〕
莓	〔艹母cm〕
湄	〔氵目do〕
袂	〔衤夬pg〕
楣	〔木目mo〕
酶	〔酉母ym〕
镁	〔钅大jd〕
郿	〔𠃜⻏ue〕
浼	〔氵儿de〕
鹛	〔𠃜鸟un〕
镅	〔钅目jo〕
渼	〔氵大dd〕
糜	〔广米gm〕
媄	〔女大nd〕
瑂	〔𤣩目wo〕
们	〔亻门rm〕
门	〔丶𠃌dv〕
闷	〔门心mx〕
懑	〔氵心dx〕
扪	〔扌门fm〕
焖	〔火心hx〕
钔	〔钅门jm〕
呇	〔水口uk〕
𫞩	〔𤣩两wl〕
梦	〔木夕mx〕
猛	〔犭皿qm〕
蒙	〔艹豕cu〕
孟	〔子皿zm〕
盟	〔日皿om〕
朦	〔月豕ou〕
萌	〔艹月co〕
懵	〔忄目xo〕
檬	〔木豕mu〕
蜢	〔虫皿im〕
勐	〔子力zl〕
虻	〔虫亡iw〕
艨	〔舟豕vu〕
锰	〔钅皿jm〕
幪	〔巾豕ju〕
艋	〔舟皿vm〕
蠓	〔虫豕iu〕
瞢	〔艹目co〕
甍	〔艹瓦cw〕
獴	〔犭豕qu〕
礞	〔石豕uu〕
㠓	〔山豕uu〕
鹲	〔艹鸟cn〕
𫑡	〔口⻏ke〕
密	〔宀山bu〕
米	〔丷木bm〕
迷	〔辶米zm〕
弥	〔弓小gx〕
蜜	〔宀虫bi〕
眯	〔目米om〕
咪	〔口米km〕
谜	〔讠米ym〕
觅	〔爫见vj〕
靡	〔广非gf〕
谧	〔讠皿ym〕
祢	〔礻小px〕
芈	〔卝𰀁cf〕
麋	〔鹿米lm〕
弭	〔弓耳ge〕
汨	〔氵日do〕
猕	〔犭小qx〕
幂	〔冖巾bj〕
縻	〔广糸gx〕
蘼	〔艹非cf〕
醚	〔酉米ym〕
祕	〔礻必pb〕
敉	〔米攵mw〕
嘧	〔口山ku〕
蓂	〔艹六cl〕
脒	〔⺼米om〕
洣	〔氵米dm〕
醾	〔酉米ym〕
面	〔丆{丨丨二}ao〕
免	〔⺈儿de〕
勉	〔⺈力dl〕
绵	〔纟巾sj〕
眠	〔目民om〕
棉	〔木巾mj〕
缅	〔纟面sm〕
冕	〔⺜儿oe〕
腼	〔⺼面om〕
娩	〔女儿ne〕
湎	〔氵面dm〕
沔	〔氵丏dg〕
渑	〔氵电dd〕
眄	〔目丏og〕
丏	〔丐丨gl〕
勔	〔面力ml〕
愐	〔忄面xm〕
偭	〔亻面rm〕
𩾃	〔鱼儿ye〕
妙	〔女少nu〕
秒	〔禾少hu〕
描	〔扌田ft〕
苗	〔艹田ct〕
庙	〔广由gy〕
渺	〔氵少du〕
瞄	〔目田ot〕
淼	〔水水uu〕
喵	〔口田kt〕
缈	〔纟少su〕
藐	〔艹儿ce〕
邈	〔辶儿ze〕
眇	〔目少ou〕
杪	〔木少mu〕
鹋	〔艹鸟cn〕
缪	〔纟彡sp〕
灭	〔一火ah〕
蔑	〔艹丶cd〕
乜	〔𠃌乚vv〕
咩	〔口羊ky〕
篾	〔竹丶vd〕
民	〔𠃍乚vv〕
敏	〔𠂉攵pw〕
抿	〔扌民fm〕
悯	〔忄文xw〕
闵	〔门文mw〕
珉	〔𤣩民wm〕
泯	〔氵民dm〕
闽	〔门虫mi〕
皿	〔冂一ka〕
岷	〔山民um〕
旻	〔日文ow〕
缗	〔纟日so〕
愍	〔民心mx〕
湣	〔氵日do〕
黾	〔口电kd〕
